satellite,timestamp,x_pred,y_pred,z_pred,vx_pred,vy_pred,vz_pred,x_truth,y_truth,z_truth,vx_truth,vy_truth,vz_truth,dx,dy,dz,dvx,dvy,dvz,dr,ds,dw,dvr,dvs,dvw
LARES,2025-01-02 05:39:00.073728,-3777.7770016160134,6859.707758850242,8.942742536621212,-2.1697264773429197,-1.208441592847521,6.686450541285541,-3778.034726403656,6859.544710029001,9.414096634057966,-2.1694128164053836,-1.208824621565327,6.686495729017952,-0.25772478764247353,-0.16304882124040887,0.4713540974367536,0.0003136609375360422,-0.00038302871780615533,4.518773241102281e-05,-0.017957117204556356,0.5478696540448339,-0.1212355292897147,-0.0004867728080447905,1.1552648023323127e-05,0.00010027404067107937
LARES,2025-01-02 05:44:00.073728,-4280.225268992441,6246.765328833413,1989.5794278894402,-1.1589781211359877,-2.8524334325175005,6.435216168978059,-4280.379502453418,6246.4938571301955,1990.0459426228808,-1.158607934079555,-2.8527544510516236,6.435129518092481,-0.1542334609775935,-0.271471703217685,0.46651473344059013,0.00037018705643276917,-0.00032101853412314085,-8.665088557791023e-05,-0.013729888127849657,0.5544195090171076,-0.08689845132917384,-0.0004805182426529885,-1.0416821942113076e-05,0.00012881552806503756
LARES,2025-01-02 05:49:00.073728,-4464.514089354769,5169.4860135368135,3822.007143783108,-0.06194641620822949,-4.284612895693499,5.704568909983209,-4464.555051826383,5169.130627899431,3822.4322999826695,-0.06157216798965237,-4.28483952307306,5.704380446466075,-0.040962471613966045,-0.3553856373828239,0.42515619956157025,0.0003742482185771223,-0.00022662737956125056,-0.0001884635171336413,-0.0037476953501572874,0.5537070187464784,-0.046142838391328406,-0.00045517505632862844,-1.840781210223213e-05,0.00013934495367672918
LARES,2025-01-02 05:54:00.073728,-4316.945774134132,3707.9431337386495,5369.729654346527,1.0395701649986222,-5.398177910222785,4.54908604809134,-4316.877028380711,3707.531544481583,5370.087057591379,1.039918029020555,-5.398320186069668,4.548822863714122,0.06874575342135358,-0.41158925706668015,0.3574032448514117,0.00034786402193276444,-0.00014227584688342176,-0.00026318437721783994,0.012299910583065843,0.5492657549693905,-0.004961571731182016,-0.0004399770741560923,-1.0075444258717312e-05,0.00012975542537100297
LARES,2025-01-02 05:59:00.073728,-3848.536251286421,1970.8162883574682,6517.51149908878,2.0636651761105895,-6.110401652778592,3.0549690440493578,-3848.368020489887,1970.372762799605,6517.779407881791,2.063972478573305,-6.110466040362098,3.054633953456687,0.1682307965338623,-0.44352555786326775,0.2679087930109745,0.00030730246271559736,-6.43875835066865e-05,-0.0003350905926708947,0.02870978982690925,0.5431317123803898,0.03123033345608034,-0.0004466650384102321,-4.2191290295463466e-08,0.00010656740345581295
LARES,2025-01-02 06:04:00.073728,-3094.120175002675,87.22656187314185,7179.894975389227,2.9344264761148224,-6.368520426711996,1.3332501069680802,-3093.866801291045,86.77692998431637,7180.052394889845,2.9346780290879906,-6.36848712251971,1.3328498324272005,0.2533737116300472,-0.4496318888254791,0.15741950061874377,0.0002515529731681454,3.330419228575465e-05,-0.00040027454087976366,0.039273395694492924,0.5347944980702309,0.0600034798444439,-0.0004667475381627071,-1.5865739043376082e-06,8.217051790237234e-05
LARES,2025-01-02 06:09:00.073728,-2109.718149729731,-1802.8369495118714,7307.432012414125,3.587358479667273,-6.1532291652417825,-0.48851179977827996,-2109.400507691026,-1803.2597822891562,7307.4642002999835,3.5875261469100224,-6.153076179336949,-0.48893742459222267,0.3176420387048893,-0.4228327772848388,0.032187885858547816,0.00016766724274930311,0.00015298590483325825,-0.00042562481394270435,0.041881756594557534,0.5218697950770689,0.08135058540553847,-0.00047843686730278986,-1.8866624135969986e-05,5.844388857503268e-05
LARES,2025-01-02 06:14:00.073728,-968.4120280033266,-3558.789360532818,6890.287615000916,3.9738805967726876,-5.47987377572008,-2.2753498492029394,-968.0594774936054,-3559.1507160241003,6890.1953071323815,3.973941707283416,-5.479614803908589,-2.2757412235996526,0.35255050972114077,-0.361355491282211,-0.09230786853458994,6.111051072821283e-05,0.00025897181149048265,-0.0003913743967132177,0.039479774198909995,0.5028972170517495,0.09447820959698627,-0.00047055005662933704,-4.022322729427171e-05,3.065205152875231e-05
LARES,2025-01-02 06:19:00.073728,244.97697383911782,-5049.753946994553,5959.043907362143,4.064797961773905,-4.397492724286167,-3.894375481388124,245.33100178026666,-5050.0272306636225,5958.844719189228,4.064751666635658,-4.397168255110955,-3.8946820342162027,0.35402794114884273,-0.2732836690693148,-0.19918817291454616,-4.629513824738751e-05,0.0003244691752115614,-0.00030655282807856565,0.035800646960609445,0.4782876011789196,0.09825965275140615,-0.0004448760244934915,-5.9001876053291284e-05,1.4910881398004744e-06
LARES,2025-01-02 06:24:00.073728,1440.0836523438948,-6164.260720271105,4582.642241417866,3.852628830048843,-2.9857317285395766,-5.224323189127972,1440.4089322185441,-6164.4337229453495,4582.365771003942,3.8524974664469482,-2.9853926821297136,-5.224523758982286,0.32527987464936814,-0.17300267424434423,-0.27647041392356186,-0.00013136360189491825,0.0003390464098629309,-0.0002005698543143808,0.034280546560474495,0.4498314441960621,0.09300176268581818,-0.00040925508607286566,-6.577204678888339e-05,-2.4928754243509516e-05
LARES,2025-01-02 06:29:00.073728,2527.694020037818,-6818.688614140296,2863.502015779407,3.3525619312540584,-1.3495327986529446,-6.164741901724028,2527.969005945261,-6818.761762725288,2863.180697066816,3.352378598598989,-1.3492084384279224,-6.164835541213961,0.27498590744289686,-0.07314858499194088,-0.3213187125911645,-0.00018333265506953467,0.0003243602250222466,-9.363948993268423e-05,0.03502755291401352,0.4200078432515699,0.08111819761176085,-0.00037658811999618006,-6.632701388274568e-05,-3.702549355945738e-05
LARES,2025-01-02 06:34:00.073728,3426.4846416755713,-6963.776101484552,930.0186720498142,2.6017418300184545,0.3884161283922367,-6.644132743502723,3426.699705006128,-6963.757942345541,929.6840698267735,2.6015466942267267,0.38870534026682435,-6.644131488839776,0.215063330556859,0.0181591390110043,-0.33460222304074705,-0.00019513579172780737,0.000289211874587636,1.2546629477583338e-06,0.03828609058681105,0.39037334126011924,0.0684358666535949,-0.0003430461951922685,-5.630361140565605e-05,-2.953423609362681e-05
LARES,2025-01-02 06:39:00.073728,4069.267534359486,-6588.56746549989,-1073.1043615437961,1.6566672587869107,2.097130551954251,-6.626079432259303,4069.4231725791537,-6588.469287880137,-1073.4260734704571,1.6564806526985194,2.097383072181401,-6.625995809632968,0.15563821966770774,0.09817761975318717,-0.3217119266610098,-0.00018660608839127235,0.0002525202271499438,8.36226263345452e-05,0.04243003134319327,0.3632363507611541,0.06016402682342206,-0.00032141998862701503,-4.65006361221778e-05,-1.0388586567954987e-05
LARES,2025-01-02 06:44:00.073728,4408.174619709791,-5721.336852967387,-2995.9422125654496,0.5887634987557249,3.6478483631799463,-6.112437011327529,4408.275696160754,-5721.1732903518405,-2996.2275072685425,0.5885966235782689,3.6480373499061898,-6.112282088750817,0.10107645096286433,0.16356261554665252,-0.285294703092859,-0.0001668751774559496,0.00018898672624345636,0.00015492257671212428,0.0466144692937957,0.33598673858671513,0.05746519383829722,-0.0002917156645126748,-4.9620948294145184e-05,2.011191342494222e-06
LARES,2025-01-02 06:49:00.073728,4418.288616476706,-4427.34318029669,-4694.874562624008,-0.521444997692015,4.924420043701502,-5.143030777730019,4418.342862411662,-4427.136698249678,-4695.107399379183,-0.5215847509207379,4.924524127383847,-5.142840940520728,0.0542459349562705,0.2064820470113773,-0.2328367551754127,-0.00013975322872283868,0.00010408368234493537,0.00018983720929099945,0.05353008935616285,0.306146022989185,0.05656459934738571,-0.0002518352323282007,-5.457360865804955e-05,-1.8113245356490598e-06
