satellite,timestamp,x_pred,y_pred,z_pred,vx_pred,vy_pred,vz_pred,x_truth,y_truth,z_truth,vx_truth,vy_truth,vz_truth,dx,dy,dz,dvx,dvy,dvz,dr,ds,dw,dvr,dvs,dvw
EXPLORER 27 (BEACON-C),2025-01-01 02:11:37.391136,-5100.32201436614,5351.042647390811,12.208619654716824,-3.9055302610604485,-3.9521491794048416,4.879019716073223,-5100.234452504864,5351.028020604089,11.757171694534957,-3.905873086419888,-3.951906999925086,4.879199091459853,0.08756186127629917,-0.01462678672214679,-0.4514479601818664,-0.0003428253594393027,0.00024217947975557763,0.00017937538662948782,-0.07174614011918162,-0.33791818950568714,-0.3038915460679194,0.00041213082944792183,0.00017884314193152663,8.074011902688397e-05
EXPLORER 27 (BEACON-C),2025-01-01 02:16:37.391136,-6028.135861297572,3945.484057644431,1453.4985796799367,-2.2287184563519986,-5.351973573836403,4.6570753150324435,-6028.124059130155,3945.5437029268724,1453.1531347121208,-2.2289583208703334,-5.351841312376564,4.6573609102933915,0.011802167417044984,0.059645282441579184,-0.3454449678158653,-0.00023986451833479805,0.00013226145983935567,0.0002855952609479573,-0.0459773658212393,-0.2636062001910971,-0.22677506413962523,0.0003242155929924966,0.00016098905130899758,0.0001598734143311724
EXPLORER 27 (BEACON-C),2025-01-01 02:21:37.391136,-6414.904229370803,2186.2572457036845,2763.74576670146,-0.326319438225255,-6.2888473097864335,4.010420386838632,-6414.938234447493,2186.364489037732,2763.534388150512,-0.32644807530414255,-6.288786734576661,4.0107087368146495,-0.03400507669084618,0.10724333404732533,-0.21137855094821134,-0.00012863707888755016,6.057520977265085e-05,0.0002883499760173436,-0.017979808399057176,-0.2025940087895075,-0.1263754874642716,0.00023972306896802897,0.00011200429250381195,0.0001826210596787655
EXPLORER 27 (BEACON-C),2025-01-01 02:26:37.391136,-6219.274054716509,228.81483030478745,3822.3328568256225,1.6223782686229242,-6.661070371023214,2.992007084352281,-6219.331601223032,228.942011308188,3822.2484611144705,1.6223009367486156,-6.661038031757528,2.992220161987916,-0.05754650652215787,0.12718100340055116,-0.08439571115195577,-7.733187430858379e-05,3.233926568668721e-05,0.0002130776356352726,0.008818975350014857,-0.15946375838682803,-0.03320812452764066,0.00017837902181964334,4.023882037108619e-05,0.00013780380113393605
EXPLORER 27 (BEACON-C),2025-01-01 02:31:37.391136,-5455.922621173929,-1749.4288151209205,4531.152206479866,3.427272046177677,-6.42605740951285,1.697596351982611,-5455.997167715827,-1749.305625822091,4531.158848945126,3.427151955960653,-6.426040282609847,1.697717785496934,-0.07454654189859866,0.1231892988294021,0.006642465259574237,-0.00012009021702397149,1.7126903003372718e-05,0.00012143351432314375,0.03029647661436582,-0.13864734108118562,0.025218067247837983,0.00016091984126116455,-4.288199489095228e-05,4.1557534032646957e-05
EXPLORER 27 (BEACON-C),2025-01-01 02:36:37.391136,-4195.001015666124,-3568.267154313381,4825.881160952484,4.912833190100173,-5.608000915946832,0.25415022295692324,-4195.108145808514,-3568.1706897175586,4825.9320165893305,4.9126145447862655,-5.608058777096176,0.25421308066597703,-0.10713014238990581,0.0964645958224537,0.05085563684679073,-0.00021864531390747288,-5.786114934380748e-05,6.28577090537874e-05,0.047882638686366524,-0.14189691078522212,0.030677370760954864,0.00019488098985449837,-0.0001006005261526229,-8.370012793132797e-05
EXPLORER 27 (BEACON-C),2025-01-01 02:41:37.391136,-2554.1637916193213,-5064.419601975677,4682.843369712182,5.9411685955647044,-4.2938967924947065,-1.1973552023209777,-2554.3277803990254,-5064.377917804813,4682.900460095333,5.940897808838599,-4.2940883426090295,-1.197320114055401,-0.16398877970414105,0.04168417086475529,0.05709038315126236,-0.0002707867261051433,-0.00019155011432303581,3.5088265576632693e-05,0.06459157298258503,-0.16563847026938439,-0.016763880348744396,0.0002482597770814069,-0.00011591816323567947,-0.00019020553679807226
EXPLORER 27 (BEACON-C),2025-01-01 02:46:37.391136,-684.7214170429836,-6108.438777408729,4120.401378698921,6.427566158224181,-2.6193332622724483,-2.5205184210117295,-684.9521937083642,-6108.480515847151,4120.444074604752,6.42734448998192,-2.6196353156983605,-2.5205140049074544,-0.23077666538063113,-0.04173843842181668,0.04269590583135141,-0.0002216682422613303,-0.0003020534259121632,4.416104275151156e-06,0.07958121275041372,-0.20246251996476286,-0.09746109730321426,0.00027230537702806635,-9.338226684835335e-05,-0.0002398376900933986
EXPLORER 27 (BEACON-C),2025-01-01 02:51:37.391136,1245.3938797503881,-6616.3389844382045,3195.1057327272906,6.34608588628862,-0.7482721787891933,-3.5993715181552943,1245.1080488193868,-6616.477802214097,3195.128370738876,6.345947748838626,-0.7486016477505473,-3.5993987517258574,-0.2858309310013283,-0.13881777589267585,0.022638011585513595,-0.0001381374499942467,-0.00032946896135399584,-2.7233570563112153e-05,0.08518586921427154,-0.24645980202562756,-0.1829839043771845,0.0002577523923904857,-7.895764807032906e-05,-0.00023601443383910436
EXPLORER 27 (BEACON-C),2025-01-01 02:56:37.391136,3068.9103389070456,-6554.909759484053,1993.8520622326118,5.725881260128972,1.1481028529888135,-4.348865944827139,3068.592168215261,-6555.144657477569,1993.8635773223168,5.725821111983805,1.147783285407968,-4.348897275615855,-0.3181706917844167,-0.234897993515915,0.011515089704971615,-6.01481451667496e-05,-0.00031956758084561443,-3.1330788715422386e-05,0.07809096387281474,-0.29618064225163,-0.25044177422330605,0.00024611550569280126,-8.519621129939873e-05,-0.00019720958357507385
